date,swell_height_ft,swell_period_secs,wind_speed_mph,swell_dir,wind_dir
2007/1/1,8.4,13,4,310,235
2006/1/1,6.5,13,13,300,10
2005/1/1,6,14,7,315,235
2004/1/1,7.4,6,25,5,25
2003/1/1,10.4,14,2,300,305
2002/1/1,7.3,6,25,165,160
2001/1/1,7.2,13,11,295,215
2000/1/1,4.8,10,9,330,325
1999/1/1,16.4,12,9,330,335
1998/1/1,14.1,15,18,325,35
1998/1/1,14.1,15,18,325,35
1998/1/1,14.1,15,18,325,35
1998/1/1,14.1,15,18,325,35
1998/1/1,14.1,15,18,325,35
1998/1/1,14.1,15,18,325,35
2007/2/1,9,13,2,315,270
2006/2/1,7.7,13,22,310,35
2005/2/1,4.5,12,7,310,10
2004/2/1,5.5,6,22,5,15
2003/2/1,8.1,13,7,300,220
2002/2/1,5.7,11,16,295,195
2001/2/1,18.1,17,2,315,300
2000/2/1,4.5,15,9,315,250
1999/2/1,14.2,13,7,330,115
1998/2/1,16.9,17,13,335,55
1998/2/1,16.9,17,13,335,55
1998/2/1,16.9,17,13,335,55
1998/2/1,16.9,17,13,335,55
1998/2/1,16.9,17,13,335,55
1998/2/1,16.9,17,13,335,55
2007/3/1,7.6,12,4,310,235
2006/3/1,9.4,12,13,340,35
2005/3/1,5.7,15,2,330,40
2004/3/1,7.1,7,22,345,20
2003/3/1,9.3,14,2,290,250
2002/3/1,5.2,9,2,290,190
2001/3/1,15.5,14,2,315,305
2000/3/1,6.2,12,9,305,355
1999/3/1,10.5,13,4,330,90
1998/3/1,12.6,15,2,330,320
1998/3/1,12.6,15,2,330,320
1998/3/1,12.6,15,2,330,320
1998/3/1,12.6,15,2,330,320
1998/3/1,12.6,15,2,330,320
1998/3/1,12.6,15,2,330,320
2007/4/1,7.6,14,4,325,295
2006/4/1,6.9,11,13,345,25
2005/4/1,9.2,14,2,330,350
2004/4/1,6.6,8,9,350,5
2003/4/1,9.2,13,9,290,335
2002/4/1,6.8,11,7,305,215
2001/4/1,10.2,13,7,325,10
2000/4/1,6.5,15,2,325,290
1999/4/1,11.8,14,9,320,170
1998/4/1,10.9,14,9,320,15
1998/4/1,10.9,14,9,320,15
1998/4/1,10.9,14,9,320,15
1998/4/1,10.9,14,9,320,15
1998/4/1,10.9,14,9,320,15
1998/4/1,10.9,14,9,320,15
2007/5/1,6.8,13,9,305,10
2006/5/1,5.4,7,13,345,20
2005/5/1,6.2,12,7,325,220
2004/5/1,5,10,2,345,260
2003/5/1,7.9,12,4,295,310
2002/5/1,6.1,11,13,305,145
2001/5/1,9.1,13,11,330,200
2000/5/1,7.6,13,11,325,205
1999/5/1,8.5,14,13,310,170
1998/5/1,12.9,14,2,315,320
1998/5/1,12.9,14,2,315,320
1998/5/1,12.9,14,2,315,320
1998/5/1,12.9,14,2,315,320
1998/5/1,12.9,14,2,315,320
1998/5/1,12.9,14,2,315,320
2007/6/1,5.1,12,11,305,15
2006/6/1,5.6,14,7,315,340
2005/6/1,4.1,13,2,320,330
2004/6/1,5.1,4,13,150,165
2003/6/1,6.4,11,18,305,15
2002/6/1,8.8,13,9,305,140
2001/6/1,10.7,13,18,310,335
2000/6/1,9.3,14,20,325,175
1999/6/1,10.5,14,20,305,160
1998/6/1,12.9,14,9,315,30
1998/6/1,12.9,14,9,315,30
1998/6/1,12.9,14,9,315,30
1998/6/1,12.9,14,9,315,30
1998/6/1,12.9,14,9,315,30
1998/6/1,12.9,14,9,315,30
2007/7/1,7.4,15,7,320,25
2006/7/1,10.5,9,18,335,335
2005/7/1,8.5,14,2,325,350
2004/7/1,5.1,13,9,315,195
2003/7/1,13.9,16,20,320,5
2002/7/1,6.7,12,4,310,205
2001/7/1,10.5,12,16,310,30
2000/7/1,12.8,15,11,320,170
1999/7/1,10.3,13,13,305,125
1998/7/1,10.4,13,0,320,315
1998/7/1,10.4,13,0,320,315
1998/7/1,10.4,13,0,320,315
1998/7/1,10.4,13,0,320,315
1998/7/1,10.4,13,0,320,315
1998/7/1,10.4,13,0,320,315
2007/8/1,7,13,4,315,35
2006/8/1,11.5,11,4,330,315
2005/8/1,6.6,13,4,325,345
2004/8/1,4.5,12,7,315,40
2003/8/1,10.4,15,11,320,330
2002/8/1,5.1,11,4,310,200
2001/8/1,7.9,11,9,315,215
2000/8/1,9.6,13,2,325,280
1999/8/1,7.4,12,11,315,30
1998/8/1,14.7,16,13,320,185
1998/8/1,14.7,16,13,320,185
1998/8/1,14.7,16,13,320,185
1998/8/1,14.7,16,13,320,185
1998/8/1,14.7,16,13,320,185
1998/8/1,14.7,16,13,320,185
2007/9/1,6.4,13,7,325,215
2006/9/1,6.8,10,7,330,90
2005/9/1,3.7,13,4,325,275
2004/9/1,11.1,15,9,315,30
2003/9/1,13.3,13,16,325,345
2002/9/1,5.9,13,11,300,165
2001/9/1,5.7,11,20,320,195
2000/9/1,10.6,16,13,325,25
1999/9/1,5.5,11,16,325,30
1998/9/1,11.5,14,18,325,165
1998/9/1,11.5,14,18,325,165
1998/9/1,11.5,14,18,325,165
1998/9/1,11.5,14,18,325,165
1998/9/1,11.5,14,18,325,165
1998/9/1,11.5,14,18,325,165
2007/10/1,6.5,11,4,320,20
2006/10/1,5.1,12,9,315,35
2005/10/1,7.6,13,7,320,20
2004/10/1,9.3,13,7,320,355
2003/10/1,17.6,12,27,330,10
2002/10/1,6.6,12,16,310,160
2001/10/1,6.7,10,20,300,190
2000/10/1,12.8,15,16,325,360
1999/10/1,8,12,22,330,10
1998/10/1,9.2,6,27,180,165
1998/10/1,9.2,6,27,180,165
1998/10/1,9.2,6,27,180,165
1998/10/1,9.2,6,27,180,165
1998/10/1,9.2,6,27,180,165
1998/10/1,9.2,6,27,180,165
2007/11/1,10.5,15,2,315,250
2006/11/1,5.7,11,11,325,35
2005/11/1,6.2,13,2,320,10
2004/11/1,8.2,12,7,320,5
2003/11/1,12,11,20,335,25
2002/11/1,5.1,12,13,315,145
2001/11/1,5.9,9,18,300,225
2000/11/1,11.1,13,16,330,30
1999/11/1,9.8,11,9,335,285
1998/11/1,8.7,11,11,290,225
1998/11/1,8.7,11,11,290,225
1998/11/1,8.7,11,11,290,225
1998/11/1,8.7,11,11,290,225
1998/11/1,8.7,11,11,290,225
1998/11/1,8.7,11,11,290,225
2007/12/1,6.9,12,4,315,100
2006/12/1,3.8,10,7,325,65
2005/12/1,6.3,12,7,315,25
2004/12/1,7.2,12,9,315,325
2003/12/1,7.3,10,20,335,15
2002/12/1,2.7,11,7,310,95
2001/12/1,13.1,11,18,305,315
2000/12/1,8.3,15,7,320,65
1999/12/1,15,13,2,325,300
1998/12/1,8.5,12,20,310,200
1998/12/1,8.5,12,20,310,200
1998/12/1,8.5,12,20,310,200
1998/12/1,8.5,12,20,310,200
1998/12/1,8.5,12,20,310,200
1998/12/1,8.5,12,20,310,200
2007/13/1,7.3,16,4,335,335
2006/13/1,5.1,12,4,320,170
2005/13/1,6.7,14,2,335,335
2004/13/1,9.1,14,7,305,315
2003/13/1,8.5,9,20,350,35
2002/13/1,5,13,7,300,45
2001/13/1,11.9,11,18,330,20
2000/13/1,5.7,12,4,315,340
1999/13/1,11.3,13,7,325,30
1998/13/1,8.6,10,13,305,360
1998/13/1,8.6,10,13,305,360
1998/13/1,8.6,10,13,305,360
1998/13/1,8.6,10,13,305,360
1998/13/1,8.6,10,13,305,360
1998/13/1,8.6,10,13,305,360
2007/14/1,5.8,13,4,320,30
2006/14/1,7.5,14,11,320,355
2005/14/1,8.5,13,7,330,235
2004/14/1,7.1,13,13,305,5
2003/14/1,6.4,13,4,295,110
2002/14/1,4.7,12,4,295,330
2001/14/1,6.9,9,16,330,20
2000/14/1,6.9,15,11,335,305
1999/14/1,9.4,13,11,330,350
1998/14/1,8.6,10,18,325,35
1998/14/1,8.6,10,18,325,35
1998/14/1,8.6,10,18,325,35
1998/14/1,8.6,10,18,325,35
1998/14/1,8.6,10,18,325,35
1998/14/1,8.6,10,18,325,35
2007/15/1,5.1,13,9,310,355
2006/15/1,11.4,14,9,315,340
2005/15/1,6.3,12,7,330,210
2004/15/1,7.7,12,16,310,5
2003/15/1,4.4,12,4,295,15
2002/15/1,7.2,12,13,305,20
2001/15/1,7.3,13,4,300,280
2000/15/1,11.5,11,18,340,245
1999/15/1,8.6,11,9,325,5
1998/15/1,7.2,10,2,330,10
1998/15/1,7.2,10,2,330,10
1998/15/1,7.2,10,2,330,10
1998/15/1,7.2,10,2,330,10
1998/15/1,7.2,10,2,330,10
1998/15/1,7.2,10,2,330,10
2007/16/1,5.1,11,7,315,5
2006/16/1,12.7,15,20,320,350
2005/16/1,12.2,15,4,315,190
2004/16/1,8.5,12,18,320,10
2003/16/1,4,12,9,295,30
2002/16/1,8.7,14,16,310,25
2001/16/1,6.5,12,4,295,350
2000/16/1,9.6,11,20,340,210
1999/16/1,6.3,11,9,330,35
1998/16/1,5.5,10,9,335,30
1998/16/1,5.5,10,9,335,30
1998/16/1,5.5,10,9,335,30
1998/16/1,5.5,10,9,335,30
1998/16/1,5.5,10,9,335,30
1998/16/1,5.5,10,9,335,30
2007/17/1,5.7,13,4,315,5
2006/17/1,15.1,13,22,320,25
2005/17/1,10.1,14,4,325,50
2004/17/1,6.8,11,9,320,30
2003/17/1,7.1,14,18,320,25
2002/17/1,7.5,12,16,310,15
2001/17/1,6.3,13,7,305,355
2000/17/1,6.3,11,13,350,185
1999/17/1,7.1,16,9,335,345
1998/17/1,6.4,15,7,320,345
1998/17/1,6.4,15,7,320,345
1998/17/1,6.4,15,7,320,345
1998/17/1,6.4,15,7,320,345
1998/17/1,6.4,15,7,320,345
1998/17/1,6.4,15,7,320,345
2007/18/1,4.7,11,2,315,320
2006/18/1,10,12,7,335,25
2005/18/1,6.9,12,4,325,30
2004/18/1,6.2,11,18,320,20
2003/18/1,4.8,11,9,310,195
2002/18/1,9.2,16,11,315,20
2001/18/1,6.2,11,11,315,350
2000/18/1,4.9,12,13,295,215
1999/18/1,20.2,17,27,330,35
1998/18/1,6.1,12,9,320,35
1998/18/1,6.1,12,9,320,35
1998/18/1,6.1,12,9,320,35
1998/18/1,6.1,12,9,320,35
1998/18/1,6.1,12,9,320,35
1998/18/1,6.1,12,9,320,35
